SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,4.662742476694156,6.0
2.0,3.0513414859374306,17.0
3.0,5.3467131892181525,45.0
4.0,6.140809780487982,91.0
5.0,6.653341948710805,152.0
6.0,4.170465178482043,120.0
7.0,2.600565256627135,93.0
8.0,1.1608675647738453,74.0
9.0,0.806878906514632,63.0
10.0,0.3196512555624697,52.0
11.0,0.08529023144308796,37.0
12.0,0.0896806885243322,53.0
13.0,0.0425121717661788,32.0
14.0,0.01963506066801775,18.0
15.0,0.0,0.0
16.0,0.0,0.0
